FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,56,Indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - medie annue,4,Numeri indici,00,Indice generale,2016,99.9,,
A,Annuale,IT,Italia,56,Indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - medie annue,4,Numeri indici,00,Indice generale,2017,101.1,,
A,Annuale,IT,Italia,56,Indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - medie annue,4,Numeri indici,00,Indice generale,2018,102.2,,
A,Annuale,IT,Italia,56,Indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - medie annue,4,Numeri indici,00,Indice generale,2019,102.7,,
A,Annuale,IT,Italia,56,Indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - medie annue,4,Numeri indici,00,Indice generale,2020,102.5,,
A,Annuale,IT,Italia,56,Indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - medie annue,4,Numeri indici,00,Indice generale,2021,104.4,,
A,Annuale,IT,Italia,56,Indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - medie annue,4,Numeri indici,00,Indice generale,2022,112.6,,
A,Annuale,IT,Italia,56,Indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - medie annue,4,Numeri indici,00,Indice generale,2023,118.6,,
A,Annuale,IT,Italia,56,Indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - medie annue,4,Numeri indici,00,Indice generale,2024,119.7,,
