DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2012,32547,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2013,30684,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2014,29247,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2016,29276,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2017,29158,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2018,29467,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2022,26687,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2023,24938,p,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2012,128051,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2013,125606,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2014,125014,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2015,122274,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2016,121896,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2017,119690,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2018,118319,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2019,117695,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2020,114350,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2021,118349,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2022,114095,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2023,110785,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2012,69121,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2013,66578,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2014,67585,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2015,65950,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2016,64984,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2017,63955,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2018,62197,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2019,61538,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2020,59086,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2021,58678,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2022,56596,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2023,57197,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2012,115893,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2013,117997,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2014,118534,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2015,119028,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2016,117779,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2017,102556,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2018,94042,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2019,87602,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2012,82164,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2013,82731,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2014,85287,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2015,86559,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2016,87883,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2017,87381,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2018,87851,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2019,86172,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2020,85914,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2021,89644,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2022,82371,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2023,80024,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2012,10161,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2013,9341,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2014,9258,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2015,9170,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2016,9455,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2017,9229,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2018,9329,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2019,9548,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2020,9930,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2021,10309,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2022,10197,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2023,10241,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Czechia,2012,108576,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Czechia,2013,106751,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Czechia,2014,109860,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Czechia,2015,110764,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Czechia,2016,112663,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Czechia,2017,114405,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Czechia,2018,114036,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Czechia,2019,112231,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Czechia,2020,110200,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Czechia,2021,111793,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Czechia,2022,101299,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Czechia,2023,91149,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Germany,2012,673544,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Germany,2013,682069,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Germany,2014,714927,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Germany,2015,737575,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Germany,2016,792141,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Germany,2017,784901,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Germany,2018,787523,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Germany,2019,778090,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Germany,2020,773144,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Germany,2021,795492,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Germany,2022,738819,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Germany,2023,692989,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Denmark,2012,57916,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Denmark,2013,55873,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Denmark,2014,56870,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Denmark,2015,58205,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Denmark,2016,61614,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Denmark,2017,61397,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Denmark,2018,61476,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Denmark,2019,61167,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Denmark,2020,60937,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Denmark,2021,63473,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Denmark,2022,58430,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Denmark,2023,57469,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area - 19 countries  (2015-2022),2012,3348950,b,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area - 19 countries  (2015-2022),2013,3271856,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area - 19 countries  (2015-2022),2014,3304265,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area - 19 countries  (2015-2022),2015,3278782,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area - 19 countries  (2015-2022),2016,3300826,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area - 19 countries  (2015-2022),2017,3228828,bep,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area - 19 countries  (2015-2022),2018,3169478,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area - 19 countries  (2015-2022),2019,3112868,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area - 19 countries  (2015-2022),2020,3043333,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area - 19 countries  (2015-2022),2021,3085074,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area - 19 countries  (2015-2022),2022,2951533,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area - 19 countries  (2015-2022),2023,2811423,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area – 20 countries (from 2023),2012,3390721,b,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area – 20 countries (from 2023),2013,3311795,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area – 20 countries (from 2023),2014,3343831,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area – 20 countries (from 2023),2015,3316285,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area – 20 countries (from 2023),2016,3338363,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area – 20 countries (from 2023),2017,3265384,bep,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area – 20 countries (from 2023),2018,3206423,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area – 20 countries (from 2023),2019,3149003,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area – 20 countries (from 2023),2020,3079178,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area – 20 countries (from 2023),2021,3121582,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area – 20 countries (from 2023),2022,2985416,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Euro area – 20 countries (from 2023),2023,2843593,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Estonia,2012,14056,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Estonia,2013,13531,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Estonia,2014,13551,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Estonia,2015,13907,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Estonia,2016,14053,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Estonia,2017,13784,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Estonia,2018,14367,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Estonia,2019,14099,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Estonia,2020,13209,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Estonia,2021,13272,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Estonia,2022,11646,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Estonia,2023,10949,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Greece,2012,100371,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Greece,2013,94134,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Greece,2014,92149,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Greece,2015,91847,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Greece,2016,92898,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Greece,2017,88553,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Greece,2018,86440,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Greece,2019,83763,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Greece,2020,84764,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Greece,2021,85346,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Greece,2022,75921,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Greece,2023,71249,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Spain,2012,453348,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Spain,2013,424440,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Spain,2014,426076,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Spain,2015,418432,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Spain,2016,408734,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Spain,2017,391265,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Spain,2018,370827,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Spain,2019,358747,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Spain,2020,340635,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Spain,2021,336823,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Spain,2022,328704,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Spain,2023,319830,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,European Union - 27 countries (from 2020),2012,4417141,b,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,European Union - 27 countries (from 2020),2013,4302289,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,European Union - 27 countries (from 2020),2014,4360234,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,European Union - 27 countries (from 2020),2015,4329512,bep,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,European Union - 27 countries (from 2020),2016,4378440,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,European Union - 27 countries (from 2020),2017,4327775,bep,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,European Union - 27 countries (from 2020),2018,4244353,be,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,European Union - 27 countries (from 2020),2019,4166236,bep,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,European Union - 27 countries (from 2020),2020,4069896,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,European Union - 27 countries (from 2020),2021,4088494,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,European Union - 27 countries (from 2020),2022,3879509,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,European Union - 27 countries (from 2020),2023,3669659,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Finland,2012,59493,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Finland,2013,58134,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Finland,2014,57232,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Finland,2015,55472,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Finland,2016,52814,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Finland,2017,50321,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Finland,2018,47577,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Finland,2019,45613,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Finland,2020,46463,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Finland,2021,49594,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Finland,2022,44951,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Finland,2023,43383,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,France,2012,821844,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,France,2013,812343,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,France,2014,819328,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,France,2015,799671,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,France,2016,784325,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,France,2017,770045,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,France,2018,759199,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,France,2019,754008,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,France,2020,735775,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,France,2021,742602,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,France,2022,726533,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,France,2023,678333,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Metropolitan France,2012,790290,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Metropolitan France,2013,780000,e,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Georgia,2013,57878,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Georgia,2014,60635,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Georgia,2015,59249,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Georgia,2016,56569,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Georgia,2017,53293,,
